tide,Emshoern,Eemshaven,Dukegat,Delfzijl,BorkumS
MM,289.555357419257,292.882321953081,310.621049949477,334.931411543753,244.6960787189
NU2,191.368253024652,194.597297247985,199.142856742984,206.131316847518,168.01104290073
N2,181.375246689199,184.479048472303,188.825633561702,195.270159074299,159.121603983374
MF,42.3124051206872,42.7845317872708,45.332859708272,48.7032049189539,35.8775715432302
M2,23.0127285989567,23.3674108051917,23.92668504786,25.0408844788488,20.2601279552907
MU2,10.391593062957,10.5872260175005,10.8633003804938,11.2195874290313,9.05536291527106
MK4,6.16929253520434,6.33868608014592,7.21862265379596,9.48152507553257,4.21581670592629
MS4,4.94364141380445,5.08080791326302,5.79034563919526,7.63678712622744,3.37068742113484
S2,2.54206227511854,2.57611980279941,2.61151571659144,2.67038821669334,2.28777778097883
M4,0.647899617508659,0.664027886278765,0.712992973317885,0.889657450587892,0.507177176512399
O1,0.559700545751476,0.557629229821457,0.531312335431143,0.539223396597268,0.611210486008721
Q1,0.509571470759953,0.510966379777525,0.49552038859352,0.527614917064515,0.536093051324209
2SM2,0.412122856003645,0.41889796530948,0.429823686331153,0.479691893269425,0.361248519845091
MN4,0.328285997327034,0.337003937096392,0.364026559814418,0.423354812214386,0.253678217803498
K1,0.143354899619621,0.144131467459499,0.132534331436309,0.142359030015217,0.165135911562221
S4,0.116890496341993,0.120539061560629,0.153724034672869,0.245362501288926,0.0565507676018906
SO1,0.0858644344384205,0.0893161300291737,0.095656556699827,0.0777920508747017,0.0816184826813484
2MS6,0.0409236881447917,0.0422071393353334,0.0410127873074551,0.0829198505083211,0.0511075760099468
S6,0.0231585254708259,0.0236004243584084,0.0261297649156983,0.0213185802046734,0.0116560871003378
M6,0.0231366953653326,0.023173653577514,0.0214656882799819,0.0254145307867127,0.0234517190926582
MO3,0.0205664970344531,0.0209307445741639,0.0207843624742492,0.0195176724078636,0.01678449412526
M10,0.00615350042069026,0.00665293654400714,0.00718705008803019,0.00605421342908732,0.00429305974040784
M12,0.00365559331341494,0.00400660941460942,0.005206693060035,0.00440288654324568,0.00238547741450484
M8,0.00322772088271046,0.00330952589951969,0.00300524942176322,0.00629689461566692,0.00305401355346276
