,BorkumS,BorkumS,Emshoern,Emshoern,Eemshaven,Eemshaven,Dukegat,Dukegat,Delfzijl,Delfzijl
,meas,simul,meas,simul,meas,simul,meas,simul,meas,simul
2MS6,0.054817874647307335,0.05572999164538584,0.04971855196024329,0.04803944891300183,0.052349795680099016,0.0494299865788257,0.05701029183532341,0.04813724304861886,0.10425981670352806,0.08647339185443555
2SM2,0.2755892081563844,0.2594293903296893,0.2732035610525629,0.2960051242393389,0.2578044940643594,0.29945307679923416,0.27875334864628304,0.3077639915876301,0.13953226410260297,0.36810588538277794
K1,0.21186915466496725,0.1593117191635717,0.20030178559809397,0.13745955871907264,0.20149004531682937,0.1361222976986955,0.19236802755159513,0.12457679655475436,0.19013367807588868,0.09786482747700842
M10,0.0019068788111273247,0.0026498266319605586,0.0031353282285444934,0.00337060443635096,0.0019607230828983567,0.003807882111307833,0.003944126343862721,0.004710968498418963,0.006364463146764243,0.0050980799452038416
M12,0.000605372698493401,0.0013911044261073564,0.002466455212543125,0.0005740812141992199,0.0022887331605802555,0.0007332893960570175,0.0027951783184257304,0.00158132868794985,0.0006795316244089632,0.0038606541387888266
M2,15.570377320073424,13.47395137519856,15.092204455156482,15.059790665917744,14.388599368328068,15.217863535003607,14.366808225963352,15.563304183181362,8.559437151773418,16.748296412500025
M4,0.606569635986431,0.557781271242576,0.6215926788497553,0.6393913576194996,0.62528205735681,0.6505737296065293,0.554483988427178,0.6291268157097534,0.4972600851331948,0.47524337658056276
M6,0.01991011460292617,0.024167992874897088,0.02380536245860542,0.02230554578044115,0.02401704031157233,0.0220684386573511,0.020808300637976215,0.019121587949507895,0.026643034668075462,0.02558371258111493
M8,0.008843747800696364,0.004804857840683212,0.007038862416418086,0.004110406412314103,0.006352341751745747,0.004212244742851641,0.007270117243424674,0.0040451619357219585,0.01480242461358163,0.0024829495152044042
MF,35.09424912788499,35.5693508159442,40.88081410408946,41.54576726167858,41.11793831505052,41.9537498072236,43.39153780251832,44.34991304728823,45.45508901996583,48.1045982217584
MK4,4.9221338434998785,4.453263082889729,4.393369637223873,4.9731817786794945,4.486197866907833,5.035978708991654,3.4436142578081945,4.648239005315633,3.1222727463683198,2.7730393259049952
MM,239.00267978076693,242.57922359750577,279.2235191285527,284.17537794686797,281.12484356833824,287.05204726916867,297.1262233275351,303.712727535213,311.3683783474604,330.7012620271475
MN4,0.2983462275067386,0.2824254702009926,0.3276962942703829,0.33610665333628176,0.33077498968300917,0.3428407175490329,0.31054646673276015,0.34449572180196675,0.2933837310191498,0.2938406044169518
MO3,0.04590600253311942,0.030825519381920925,0.05613299251151075,0.033196104996966375,0.05598333813088802,0.03350311268225986,0.057435432234436944,0.03494525320564946,0.06813663904486765,0.024834550162226243
MS4,3.8290873284954268,3.4903197721471453,3.453278844528156,3.9347094213051457,3.522348798625448,3.9850419353060347,2.7208367960693947,3.705818659456524,2.3415761663660146,2.3887102352009473
MU2,7.144033388249669,5.571103929719692,6.982392478115734,6.2272663118454,6.820839436921502,6.316231139029843,6.647024986701272,6.439403112450577,5.327389651950343,6.46769591253607
N2,127.36365160199357,102.37118672762836,122.74428005838033,113.87852424373848,118.62491596146373,115.25787730099928,115.68257088683148,117.33955812789009,81.75401499084687,120.40249345940711
NU2,132.86850956681855,107.40869668775686,127.89736292921005,119.45770522199054,123.40293399679942,120.87114450431287,120.47553472557748,123.06563567892029,83.30268791260154,126.88745195582581
O1,0.6919174702061217,0.6641176192911896,0.6864404826928797,0.638334755611481,0.6715582485224261,0.6367374645326225,0.656934387938882,0.6207713959955498,0.6599868027060757,0.5630109788247486
Q1,0.5105397443078312,0.5022750438938003,0.5366105126034616,0.5105864017542789,0.5226135554587972,0.5127377470875558,0.5237983970758661,0.5103621736502915,0.5452863034229275,0.5002638985435459
S2,1.960475624918044,1.6184291398019475,1.8210321100183327,1.7579168395140945,1.7505234283520439,1.772205003564422,1.7070562591108938,1.7878154439799296,0.9368081054201957,1.8565417000305011
S4,0.11302546644743419,0.09700322488201521,0.0860302941356678,0.10239602883075989,0.09252316857216672,0.10573238820637222,0.06454505858052914,0.08860617384567947,0.1438807255706309,0.051743146752917184
S6,0.026728340925875012,0.011685843289224085,0.01971920869796774,0.016277514609836907,0.01968655726469961,0.016257096179285488,0.012493524416367212,0.01676114296018431,0.013161090166675635,0.016548151164383774
SO1,0.19838729788763515,0.09309030725386454,0.18918768246171827,0.06674138165634799,0.19271716852832585,0.06407761042752182,0.1863627427915125,0.056574166936292435,0.1882590906517443,0.03344226293183155
