,BorkumS,BorkumS,Emshoern,Emshoern,Eemshaven,Eemshaven,Dukegat,Dukegat,Delfzijl,Delfzijl
,meas,simul,meas,simul,meas,simul,meas,simul,meas,simul
2MS6,108.46742506874962,119.55407093206067,158.8580456517444,147.48086675089075,158.40592372608054,150.9571697727624,174.76814694427782,167.30487773640115,202.68185968780463,225.50335100838623
2SM2,149.88657937045213,122.71585177359488,147.7482307525153,131.41005837845645,152.15429088143037,131.80305061306746,145.16721339889745,134.85551355710325,153.82070923863722,126.73974102802931
K1,210.88027985537707,250.18568323597145,217.93105946221212,258.21024448229423,214.2881846337084,258.9575066001038,214.6552961227961,260.03097404953047,222.04528312563778,288.42818836407093
M10,216.67331204954985,276.9025169231929,332.47412429598666,5.509945563220957,338.9480530326247,10.48260675696907,348.7078320225863,27.68841494823077,20.94389413411501,88.99402472845956
M12,244.29766788533865,190.50127948232404,23.09204991778011,330.94302733793967,27.276502753755263,344.5317826230861,41.693983532681074,13.419536797382486,58.23844750763474,42.55515355995816
M2,100.2500436599115,74.22041369495278,105.3719758248836,85.83618699264971,109.47454545355409,86.51162044891447,107.84409528951639,90.88156971223754,132.35933504340952,88.1825510189693
M4,188.32393496130936,158.33772567154293,207.95468131877627,179.48369282788602,207.9095580229575,181.22901876771914,214.83942303363517,188.64922918033147,244.4263101613452,194.06316222753102
M6,191.31995337363992,226.0302014581919,226.12784980296138,253.45734434798356,233.20883399510436,255.5429449630681,236.11418334568629,259.403792222127,276.1077404240548,330.2207836051294
M8,359.7125484430012,345.91491860279103,53.1869424920282,42.19936838221401,59.47997542709435,45.32224328208982,72.00414718320168,57.87619108665243,96.70080414968515,183.22926031106076
MF,333.16709803193316,334.8599072568241,334.21624166088156,335.8444472355984,334.4097518182328,335.92163074421956,334.77621133654964,336.2042354332339,335.02215300916856,337.0260195723065
MK4,77.73548276976278,48.57623566182802,96.41941503387086,66.34247736051326,97.7296882733505,68.54017443677056,102.9609604109804,73.56692509656119,152.88435270187648,70.37038245045433
MM,196.71168568676816,197.54386660621958,197.2066197532171,198.00100443641614,197.28802341125402,198.03509115447557,197.45375935075674,198.16664289644095,197.56984321399452,198.52513801364495
MN4,76.88046205807868,48.68670920849614,95.57031391007538,70.02352757830351,94.96581462727748,71.59927081265063,100.49204278372484,79.066114862701,119.627726891054,90.39506231543258
MO3,234.251159774667,283.61929159364774,254.9503564217302,303.0945455070791,257.00205999206065,305.04655952375157,267.6336576395245,315.60801570666484,290.9181438473531,333.28018382783
MS4,39.890116879869886,10.271627917338453,57.964013476424775,27.732076406364047,59.08701702814366,29.862532094665323,63.44300572353245,34.54604007841576,111.66021778935314,30.32808252776409
MU2,268.041737292507,243.5970130701205,277.4286616811893,257.44369675620914,282.58905112994614,258.3618578315977,283.82926206509285,263.7763715544793,318.3345038472846,263.4317367390495
N2,181.4039176373393,156.23540214802208,189.03240841036754,168.83634194928837,193.85568896215233,169.66702254125713,193.79847450129498,174.50880447118328,226.95383396463737,172.2285166497487
NU2,188.86853549462072,163.57764983847287,196.20600173259913,176.0011013191366,200.96748697549276,176.8158190970047,200.68944731259631,181.57367566967085,233.38156166934542,179.07057735160853
O1,339.7044942978558,7.1752434976033355,346.75667471026696,14.317352251400866,345.0524560388905,14.775897165032957,347.2639848724801,17.07792114602327,353.25533407212566,27.950615619885205
Q1,247.34650154634875,269.86433843192697,253.38510424200032,274.4756672490756,252.71118365290647,274.7362771634331,254.68281001236045,275.8826200339565,260.3273493329462,285.6905317147946
S2,313.4652576569468,289.65512412319646,317.8111784816564,299.23720047168916,322.12506510414505,299.9080052150981,318.96927246945506,303.4016681377092,347.40109914509435,297.47174498909186
S4,91.47820018047744,67.1172496011864,120.0424110190211,87.84993445441495,123.01696769383967,91.30089552251818,146.88597636721153,104.0771813311269,188.8865757418262,215.7871203186801
S6,77.10838982332241,89.95377562936511,103.98409650660224,93.44642017432959,107.4748503453519,93.56286389667551,129.36388872964886,94.1242270818111,164.19215317126117,144.89149259013138
SO1,43.182408984744086,68.11157494815546,44.469384660803826,59.17122606272943,42.61172758219893,57.37778941721641,41.865166989523914,47.241425088191875,43.660545150568225,30.859566886025085
