tide,Emshoern,Eemshaven,Dukegat,Delfzijl,BorkumS
MM,96.8046704327851,96.8127020488701,96.7951425785725,96.7872784242022,96.8158610155767
NU2,275.304018581024,276.175337409938,281.189305037524,286.058272389147,262.336655455138
N2,188.269354503204,189.147376868625,194.194965799426,199.136111698074,175.25124786413
MF,51.9247984621612,51.9501138190711,51.9309361667015,52.0094400346403,51.8796077217798
M2,5.23639048810103,6.04008209468396,10.8974963938251,15.6686072808659,352.443757462581
MU2,98.9295047201575,99.8392251944215,105.09103825752,110.602575439732,85.5877712499584
MK4,281.808031769839,281.769059397407,281.34849387907,286.913830301633,280.933254532018
MS4,239.883674813963,239.86227088171,239.627274395279,245.680982036516,238.599328699527
S2,286.108400553815,286.872272320198,291.212261740265,295.240817490179,274.415072842194
M4,329.998484828295,330.044850009617,330.274910405202,332.439591792588,326.204803736106
O1,326.381289955589,326.797237335227,327.781015645612,328.611634606233,322.959147508188
Q1,325.266326270455,325.30783728746,324.898809888662,323.956606558928,325.224261003693
2SM2,188.197843132058,188.779804357412,192.855658996542,196.62170491072,176.534711038076
MN4,327.653297638172,327.78447412329,329.954231187551,334.905679753589,321.199294381481
K1,356.422908766111,357.579209688217,4.51490788851354,357.474449722031,343.022344460874
S4,319.988023934732,319.607128640928,317.421102749741,321.167121495176,323.957249646875
SO1,328.013413864186,330.230668450824,342.383535910816,345.72940038804,295.570906167357
2MS6,6.5058721736449,10.0582393563838,26.4126168681705,79.1357850743528,337.356799733428
S6,70.5697510810384,71.3098136402831,79.2779640248614,122.380514765057,45.839223428206
M6,10.8653380978557,11.8204874684928,12.8851725031452,84.7100713620619,349.278135326253
MO3,55.6685016697874,55.8407688343035,67.2963059638217,51.9458455120766,38.4586433258601
M10,29.754619265748,31.6782997268038,43.3463606097855,85.4661433655755,325.135805725599
M12,250.269833472194,255.574288053849,277.044142361849,325.538736099732,154.234547029678
M8,185.608228206105,186.233504468242,187.917894649838,265.008943803254,114.993031268279
